;trump;president;great;united;states;people;new;house;american;government;federal;national;news;administration;obama;state;white;democrats;country;world;republican;working;media;man;fbi;thank;court;department;york;campaign;party;washington;best;big;donald;russia;senate;election;help;congress;former;may;article;job;good;bill;city;security;history;americans;police;committee;fake;2016;support;love;justice;left;supreme;times;year;released;million;story;trying;called;presidential;america;law;post;hard;proud;senator;war;military;act;russian;clinton;work;night;another;think;following;hillary;report;end;reserve;thing;killed;china;nothing;win;radical;announce;investigation;democratic;free;money;information;political
trump;0;550;118;118;118;140;128;164;64;44;76;56;92;192;72;36;124;80;46;16;90;56;70;20;116;8;26;50;60;178;42;72;14;48;268;104;54;84;30;60;60;54;20;38;26;34;12;30;22;24;14;54;54;54;30;22;50;30;22;56;24;38;22;32;50;34;74;14;32;38;32;18;20;18;20;24;54;32;12;30;24;26;22;38;40;22;16;22;18;30;28;26;26;10;40;16;16;18;26;36
president;0;0;140;240;220;128;100;172;92;42;66;84;92;56;144;44;138;54;70;30;54;48;58;30;84;18;46;32;36;54;26;76;12;42;118;74;52;48;34;68;96;48;20;52;32;50;10;48;42;28;6;30;52;42;30;26;46;30;32;36;28;36;12;16;30;44;48;30;28;30;28;16;24;34;24;32;34;20;18;28;28;28;14;10;28;28;24;32;22;30;24;28;26;8;48;18;16;12;24;36
great;0;0;0;112;116;168;130;78;138;34;40;46;64;42;26;78;44;48;88;40;60;52;28;36;12;84;14;16;44;4;30;22;34;50;32;10;36;26;22;24;18;12;12;100;50;26;26;16;38;28;14;8;20;12;52;70;8;22;14;20;18;2;10;22;16;18;14;72;20;10;38;50;64;10;32;20;8;14;40;44;30;34;6;4;14;20;16;28;10;18;22;38;20;28;4;8;10;14;10;12
united;0;0;0;0;984;134;74;72;50;90;38;40;38;74;50;68;44;26;68;60;22;46;26;14;18;34;58;28;26;14;18;42;12;22;32;42;54;22;36;34;16;20;12;26;14;22;10;44;42;28;6;16;18;18;24;26;22;16;44;20;28;16;26;10;26;22;24;52;22;16;8;18;18;38;56;20;26;12;18;2;20;12;24;12;12;12;8;16;18;52;4;14;22;18;8;10;16;14;6;28
states;0;0;0;0;0;126;78;56;48;92;56;42;42;72;50;72;32;22;64;54;18;44;26;12;18;30;72;28;22;12;12;40;18;24;36;38;52;18;40;32;14;22;10;28;14;22;10;42;42;26;6;12;16;14;22;22;22;16;56;16;30;16;32;10;30;18;26;52;28;12;8;20;18;34;54;26;26;10;20;2;16;10;24;10;12;16;10;14;18;44;6;12;18;14;8;12;20;18;8;26
people;0;0;0;0;0;0;92;58;226;88;54;54;54;54;32;64;46;34;70;64;38;42;42;30;30;36;26;32;34;30;40;24;36;42;28;24;28;20;32;36;26;24;18;28;42;22;38;36;36;14;22;22;34;18;34;36;36;18;22;14;12;20;42;20;28;20;14;26;28;14;24;24;18;16;20;24;8;12;30;12;18;20;14;14;22;24;14;18;54;18;36;28;14;20;8;10;18;22;16;22
new;0;0;0;0;0;0;0;42;62;58;44;66;62;68;68;66;34;22;28;34;40;42;28;20;28;26;22;46;326;36;42;46;30;30;28;22;26;14;30;16;42;16;48;36;20;10;62;22;24;34;18;24;22;14;10;32;30;14;8;152;28;46;20;30;12;24;18;24;16;40;24;34;28;12;10;8;10;26;20;10;18;20;22;30;38;12;6;20;10;16;12;12;12;32;16;22;16;16;10;10
house;0;0;0;0;0;0;0;0;50;40;24;28;64;48;56;16;382;58;14;12;28;30;22;14;38;26;12;18;16;34;16;32;10;20;24;28;60;22;18;24;28;18;12;14;14;60;8;14;16;10;6;66;22;16;22;10;12;24;12;22;8;34;12;14;16;18;14;8;12;14;18;10;10;4;14;20;22;8;10;20;24;4;4;2;24;16;0;14;8;6;14;14;12;12;20;6;4;6;20;8
american;0;0;0;0;0;0;0;0;0;24;30;48;30;58;48;18;24;44;42;20;42;24;22;22;18;22;22;26;18;18;30;16;20;24;10;20;20;22;18;36;16;18;18;12;10;18;12;16;56;20;12;20;16;14;22;12;26;22;16;12;14;8;10;22;16;18;14;14;20;8;16;28;16;16;10;30;6;12;8;12;14;10;20;12;10;14;8;6;14;16;18;22;16;20;6;16;4;10;16;32
government;0;0;0;0;0;0;0;0;0;0;176;28;14;36;20;30;22;20;24;12;8;26;18;8;14;10;36;22;12;18;14;12;14;12;6;6;16;20;30;20;6;16;8;16;20;26;10;20;10;24;6;14;6;10;18;2;18;8;30;8;12;10;36;4;12;12;6;4;14;6;8;2;4;10;12;24;36;10;16;4;10;8;4;2;22;10;4;6;14;8;4;6;2;8;2;8;6;26;14;12
federal;0;0;0;0;0;0;0;0;0;0;0;30;12;42;28;36;10;10;4;10;8;16;8;8;2;18;68;24;12;12;8;10;6;16;18;0;6;22;20;18;12;16;12;18;14;24;12;10;18;22;8;10;2;16;28;0;18;4;30;6;26;4;36;2;4;14;4;8;34;2;12;2;0;6;8;18;2;2;16;0;10;8;4;2;14;6;154;4;8;2;10;8;0;10;14;8;12;38;10;0
national;0;0;0;0;0;0;0;0;0;0;0;0;24;18;16;28;18;34;14;14;88;26;16;14;34;4;2;24;22;26;24;38;16;8;16;10;12;20;16;18;52;10;8;6;12;10;6;112;6;30;4;126;14;18;12;12;24;10;0;10;14;20;12;6;14;4;12;4;16;10;16;20;12;6;10;12;16;12;18;12;4;2;24;20;10;6;4;4;4;0;4;14;6;26;10;86;6;6;12;8
news;0;0;0;0;0;0;0;0;0;0;0;0;0;24;22;16;54;40;12;6;20;20;96;18;18;20;8;16;32;16;18;20;24;14;20;10;14;18;8;8;16;8;8;14;28;12;6;12;14;8;6;18;194;20;10;18;8;26;8;24;8;6;6;30;32;8;14;8;6;8;10;6;2;10;6;8;14;12;8;14;10;4;8;12;12;14;8;10;8;6;28;6;18;6;10;10;12;8;4;10
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;262;28;20;40;10;18;6;30;16;6;8;12;16;32;18;22;14;18;0;10;14;16;24;16;24;24;26;12;24;10;6;16;4;20;20;16;4;24;10;10;14;4;18;14;6;12;8;22;20;14;22;10;10;10;14;12;12;2;8;20;16;12;18;12;12;8;8;4;12;12;26;6;6;2;12;12;12;4;14;6;8;2;6;14;14;4
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;42;26;14;20;16;12;14;6;14;2;14;40;24;32;16;28;2;14;16;22;22;28;26;22;38;22;22;10;2;14;6;14;10;18;4;18;4;18;10;2;32;10;8;20;2;22;14;18;28;12;10;6;10;10;8;10;6;22;10;6;16;14;0;10;12;2;6;10;26;10;10;0;8;8;12;8;4;2;12;10;6;10;10;10
