;great;president;states;united;trump;people;new;national;federal;government;news;state;house;american;obama;administration;media;country;big;fbi;republican;democrats;party;court;white;working;election;campaign;man;please;support;fake;job;russia;hillary;year;senate;2016;hard;clinton;world;work;good;help;congress;donald;supreme;nothing;may;city;thank;proud;police;best;massive;investigation;team;york;story;bernie;left;called;win;america;strong;lot;trying;political;americans;part;law;bill;usa;department;season;military;former;money;post;billion;committee;intelligence;show;report;justice;another;announce;presidential;says;fight;san;radical;killed;biggest;fact;death;washington;huge;thing;days
great;0;14;14;14;14;32;14;6;8;8;6;22;10;14;4;8;6;10;12;0;12;12;4;4;6;20;2;4;6;2;10;4;12;2;2;2;6;4;12;4;0;6;6;8;4;6;2;2;4;4;8;0;0;4;4;0;8;4;2;2;4;8;8;12;2;4;2;2;4;4;4;10;8;2;8;4;0;0;4;2;2;6;4;4;2;6;4;2;2;6;2;4;0;2;0;2;2;2;6;8
president;0;0;38;44;66;6;8;12;8;6;18;10;14;14;28;4;14;4;8;12;6;4;4;8;8;8;6;6;0;0;6;10;4;6;2;4;6;0;8;0;4;2;4;2;4;16;6;14;6;2;6;2;4;0;2;4;0;2;4;4;4;8;4;6;6;2;0;4;4;2;4;4;4;2;0;10;4;4;2;2;0;2;4;2;6;0;2;0;2;2;0;8;0;2;0;0;6;0;2;4
states;0;0;0;138;12;24;12;6;8;12;2;10;10;4;14;12;2;8;4;6;0;6;2;6;8;14;4;6;2;0;8;0;8;8;0;4;6;0;6;2;6;4;2;6;4;0;4;2;12;2;6;6;2;2;10;2;0;4;4;2;0;0;2;8;4;4;8;2;2;2;2;0;2;6;0;2;0;4;2;6;2;4;0;2;4;4;2;0;2;14;2;2;4;4;0;4;4;4;2;0
united;0;0;0;0;14;24;8;2;4;10;4;8;10;6;18;14;6;8;6;4;0;6;2;6;8;12;2;4;2;0;6;0;10;8;0;4;4;0;6;0;6;4;2;6;2;2;4;4;12;4;6;6;2;2;8;0;0;4;4;0;2;2;2;8;4;2;6;6;2;2;2;0;2;4;0;2;2;2;4;4;0;2;2;2;2;2;2;0;2;12;2;4;4;4;0;4;6;4;2;0
trump;0;0;0;0;0;4;10;8;14;4;22;16;10;4;10;18;8;8;4;12;10;4;2;8;6;8;12;20;4;0;4;12;4;18;10;2;10;8;10;4;2;2;6;8;4;36;6;6;6;2;0;2;4;4;8;4;0;2;4;2;2;10;4;6;2;4;2;12;4;0;6;2;2;0;2;6;8;4;2;4;8;10;8;6;2;2;0;10;6;2;0;4;2;2;2;0;8;2;4;8
people;0;0;0;0;0;0;8;2;6;10;4;10;8;26;4;4;4;10;10;2;10;6;8;6;6;12;4;2;4;2;4;2;6;6;6;4;6;4;2;6;2;4;6;6;4;2;6;6;4;2;6;4;4;6;6;2;4;0;0;2;4;6;4;10;6;10;2;6;0;6;4;10;2;4;4;4;0;2;4;0;2;0;2;0;6;4;6;2;4;6;0;2;8;0;2;0;4;2;0;6
new;0;0;0;0;0;0;0;14;8;6;6;4;2;4;4;6;8;4;6;0;4;0;2;2;0;2;4;2;0;0;4;4;2;4;4;6;2;2;2;6;0;4;0;2;2;6;0;0;2;10;2;10;4;4;4;2;6;34;6;0;2;6;6;4;2;4;0;4;6;10;4;2;4;4;6;2;2;0;4;2;0;0;0;4;2;6;8;2;2;0;0;2;0;0;0;0;2;2;2;6
national;0;0;0;0;0;0;0;0;4;2;2;4;2;10;8;2;2;0;2;6;8;4;10;0;2;0;4;4;4;0;2;0;0;2;4;6;0;2;0;4;0;6;4;4;6;6;2;0;0;4;0;12;2;4;0;6;4;4;2;6;0;2;2;0;0;2;0;2;2;2;2;0;0;2;2;4;2;2;0;4;10;4;2;2;4;2;8;2;4;2;6;0;2;2;2;2;2;0;0;4
federal;0;0;0;0;0;0;0;0;0;32;4;10;6;6;2;4;2;0;6;2;2;2;2;14;4;2;2;0;6;0;4;0;4;2;0;4;2;4;0;0;0;4;4;2;0;4;8;0;0;4;2;0;0;0;4;4;0;2;2;2;0;2;0;0;4;0;0;2;2;2;6;0;2;4;0;0;2;4;2;14;0;0;0;0;2;0;0;0;2;2;6;0;2;2;2;0;2;4;0;0
government;0;0;0;0;0;0;0;0;0;0;4;6;4;2;2;2;4;4;4;2;0;2;2;8;2;4;0;4;0;2;8;0;2;2;0;0;0;4;0;0;0;2;0;4;2;2;8;0;2;4;4;0;0;0;0;0;0;2;4;0;0;0;0;2;2;0;2;2;2;2;4;4;0;6;0;0;2;6;0;12;0;0;2;2;6;2;0;2;0;2;0;0;2;0;6;0;2;4;0;2
news;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;4;22;0;6;10;4;4;4;0;2;6;2;6;0;0;0;38;2;8;4;2;4;8;2;2;6;0;2;4;2;6;0;4;2;0;2;2;4;2;4;4;0;6;8;6;4;4;0;4;0;4;6;0;0;2;0;0;0;2;2;0;2;2;4;0;4;4;2;0;2;4;2;6;4;0;2;2;0;0;0;2;2;4;2;4
state;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;2;2;6;4;2;6;4;0;4;4;6;0;8;2;0;4;0;0;0;4;4;2;4;2;10;2;8;2;2;2;6;4;4;2;0;2;4;0;4;0;2;2;0;0;2;0;2;2;4;0;4;2;0;6;2;2;2;4;6;0;0;2;0;4;2;0;2;0;2;0;2;2;0;0;4;4;0;0;2;2;0;4;2;2;2
house;0;0;0;0;0;0;0;0;0;0;0;0;0;4;20;8;2;0;2;12;6;4;2;2;46;4;8;6;2;0;4;2;0;2;8;0;4;4;2;8;0;2;0;2;4;2;0;0;2;0;0;0;0;2;2;8;0;0;0;2;0;4;2;0;2;2;4;0;2;2;2;10;2;0;0;0;12;2;2;4;8;8;4;4;0;4;0;0;6;2;2;2;0;2;2;2;0;4;0;0
american;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;8;6;4;6;6;6;6;2;2;4;0;6;0;2;2;4;2;2;2;4;4;2;4;0;0;0;6;4;0;6;0;2;0;2;4;0;0;2;2;0;2;0;4;0;4;6;0;2;2;0;2;4;0;4;2;2;4;2;6;0;2;2;0;2;0;0;2;4;4;4;4;2;2;2;2;2;0;0;0;0;0;0;2
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;6;6;0;8;4;6;0;6;14;2;10;4;0;0;4;6;0;6;8;2;2;4;0;2;2;0;4;0;0;8;2;6;2;0;0;0;2;0;2;8;0;0;0;0;2;2;2;4;0;0;4;4;0;0;0;0;2;2;0;0;6;4;0;4;4;4;0;6;2;2;0;4;4;2;2;2;0;0;2;0;6;0;0;4
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;4;0;6;0;2;4;4;2;2;0;4;4;2;2;4;2;4;4;4;0;2;2;0;6;6;2;2;0;2;0;0;2;2;0;0;6;6;0;0;0;0;2;0;2;4;0;0;2;2;0;2;0;0;2;4;0;0;4;4;2;8;4;8;0;6;2;2;2;2;0;0;0;2;0;4;2;0;4;2;0;2
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;6;2;0;2;4;4;4;2;0;2;20;2;2;2;2;2;4;4;2;2;0;2;0;0;6;0;2;0;2;2;0;0;2;4;0;0;4;8;2;4;2;0;0;0;0;4;0;0;4;0;0;0;2;0;0;4;4;4;0;2;2;2;0;2;2;0;4;0;0;0;4;2;0;0;0;2;0;6;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;0;0;0;0;2;0;2;0;2;0;2;4;4;0;0;2;0;2;2;2;0;8;0;4;0;10;0;2;2;0;2;0;4;0;0;0;2;0;2;2;2;2;8;0;0;4;2;2;2;0;2;2;0;4;2;0;0;0;0;0;2;2;0;0;0;4;4;6;0;2;2;0;2;0;0;4;0;2
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;4;0;4;0;0;0;0;2;2;2;0;0;2;2;0;2;0;6;2;2;0;0;0;4;0;2;2;2;0;0;2;0;0;4;2;0;0;0;4;6;4;0;0;0;2;2;2;0;0;4;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;2;0;0;4;0;0;0;4;2;0
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;4;2;6;4;2;0;2;6;0;6;10;2;4;6;0;6;0;2;0;2;4;8;2;0;4;2;0;0;2;2;0;16;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;2;0;0;12;2;0;0;8;8;2;0;6;0;2;4;4;0;4;0;0;0;2;0;4;0;2;2
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;24;4;0;0;0;6;0;0;0;6;2;0;4;0;2;2;4;4;0;0;0;0;0;6;4;0;0;2;0;0;2;2;4;0;0;2;2;4;0;2;4;4;0;2;2;0;4;0;4;4;2;2;0;2;0;0;0;0;6;0;0;0;2;0;0;8;2;2;0;0;0;2;4;0;2;2;0;2
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;4;6;4;2;0;0;6;2;4;4;0;6;6;0;2;2;0;2;0;2;0;0;2;0;0;0;0;0;0;2;4;2;0;4;6;8;2;0;2;0;0;4;0;2;0;0;2;2;0;0;0;0;4;0;0;4;2;0;0;0;0;0;4;0;2;0;6;0;2;2;0;0;0;4;0
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;2;0;2;4;2;0;4;0;0;2;4;4;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;6;0;2;4;0;0;0;2;0;0;2;0;0;2;2;0;0;2;0;2;0;4;0;0;0;2;0;0;2;0;4;0;0;0;2;2;0;0;0;0;4
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;0;2;34;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;4;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;2;0;0
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;2;0;0;2;0;2;4;0;2;4;0;6;0;0;0;2;2;2;0;0;0;2;0;0;0;0;0;4;0;0;0;2;2;4;2;0;0;2;4;0;0;2;0;4;0;0;0;0;8;0;0;2;4;2;4;4;0;2;0;0;6;0;2;0;0;0;0;0;0;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;8;4;4;6;2;2;0;2;14;2;2;4;0;4;2;0;0;0;2;6;10;0;0;0;0;6;0;0;0;2;0;0;2;0;2;0;0;0;2;2;0;0;0;4;0;2;0;0;0;2;0;0;2;0;2;2;0;0;0;4;0;2;0;0;2;2;4;0;2;2
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;6;2;0;10;2;0;10;22;4;0;0;4;2;2;10;6;0;0;4;0;2;0;2;0;6;10;0;0;0;2;2;4;2;4;0;0;4;4;2;0;0;0;2;0;2;0;2;0;0;0;8;10;0;4;0;0;0;10;4;0;0;0;0;0;0;0;0;2;2;2
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;6;4;0;4;6;4;8;0;0;0;0;0;2;0;4;0;2;2;0;0;0;0;0;0;0;0;6;2;2;2;0;0;4;4;2;4;0;0;0;0;0;0;0;2;6;2;0;10;6;0;0;0;2;0;4;0;0;0;2;0;0;0;0;2;2;0;2
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;6;0;2;0;0;2;0;0;0;4;2;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;2;0;4;2;0;0;4;0;0;2;0;4;4;0;0;0;0;0;2;0;2;4;2;2;6;2;6;0;4;0;0;2;0;0;0;0
please;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;2;0;0;2;2;4;6;0;0;0;2;2;6;0;0;0;0;4;0;0;0;0;2;2;2;2;2;0;0;0;2;0;0;2;2;2;0;0;2;4;0;0;2;2;2;0;2;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;2;4;2;2;2;0;2;0;0;6;0;4;2;2;4;2;2;0;4;2;0;4;8;2;4;2;0;2;0;2;6;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;2;2;0;2;0;4;2;0;0;2;0;0;0;0;0;0;2;0
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;4;0;0;0;0;4;0;4;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;2;0;2;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;2;0;0;0;0;2
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;4;0;0;2;2;2;4;2;2;2;4;0;0;0;0;0;0;2;0;2;2;0;2;0;2;2;0;0;4;2;2;0;0;0;2;0;0;0;4;0;0;2;4;6;2;0;0;2;0;8;2;0;0;0;0;0;0;0;0;2;2;0
hillary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;22;0;0;0;0;0;4;0;0;2;2;4;2;4;2;0;6;0;2;0;8;2;2;2;2;0;2;2;0;0;2;0;2;0;2;0;2;8;2;0;0;6;2;0;0;2;0;4;6;4;4;2;2;0;0;2;0;0;0;2;2
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;4;0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;6;2;2;0;0;2;0;0;0;2;2;0;0;2;0;0;2;2;0;0;0;2;2;2;0;0;0;2;0;0;0
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;2;2;0;8;2;2;4;2;2;0;0;0;4;0;4;0;2;0;0;0;0;0;0;2;0;2;2;0;0;2;6;4;0;0;2;0;0;0;0;12;10;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;6;4;0
2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;8;4;0;2;2;0;0;0;2;0;2;6;0;0;0;2;2;2;2;2;0;0;4;4;0;0;0;0;4;2;2;0;4;0;0;0;6;8;0;0;2;0;2;16;4;0;2;0;0;0;0;0;0;4;0;2
hard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;16;0;4;0;0;0;0;0;2;8;0;2;0;2;0;4;2;0;2;0;2;4;2;0;0;4;0;4;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;6;0;0;4;0;2;0;0;0;0;2;0;0;0
clinton;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;4;4;2;2;0;0;4;0;2;0;10;0;0;4;0;0;4;2;0;0;2;0;4;0;2;0;2;8;0;2;0;6;2;0;0;2;4;4;4;2;2;0;0;0;0;0;0;2;0;0;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;4;0;2;2;0;0;0;0;4;0;0;0;0;0;4;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;6;0;0;2;2;2;2;2;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;0;0;4;2;0;6;0;0;0;0;0;0;2;4;0;2
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;6;0;2;0;0;0;2;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;2;0;2;2;0;0;0;2;0;2;0;0;0;4;2;0;0;0;2;2;0;0;0;2;2;0;0;2;4;0;2;0;0;0;0;0;0;4;2;2;4;0;0;0;0;0;0;0;2;2;0
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;2;0;0;0;2;2;0;0;4;0;0;0;2;2;4;0;0;2;0;0;0;2;0;0;4;6;2;0;0;2;0;4;2;0;0;0;0;0;2;0;0;4;0;0
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;2;0;4;0;0;0;0;0;2;4;2;0;2;0;6;0;0;2;2;2;0;2;6;4;0;0;0;0;0;0;2;2;0;0;8;2;0;0;0;0;0;0;0;4;0;2;4
supreme;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;4;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0
nothing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;4;2;2;0;0;2;2;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;2;0;0;0;4;0;0;0;2;2;0;0;0
