;great;president;government;trump;federal;states;united;best;world;people;new;national;called;reserve;administration;news;love;history;university;country;court;second;election;american;obama;war;fbi;may;hit;2016;largest;presidential;booka;women;report;good;price;nation;deliver;biggest;killing;senate;able;press;gun;team;fake;state;says;huge;antifa;man;medical;public;indian;committed;life;killed;illegal;1000;ransomware;running;thank;research;shooting;person;supreme;judge;thing;casino;denied;republican;latest;help;conference;stand;fiscal;10;2017;without;india;wall;spent;usa;important;whether;lady;article;metal;letter;attack;california;win;working;justin;china;army;texas;sunday;bad
great;0;4;2;0;4;4;4;0;0;4;0;0;0;4;0;2;2;2;0;4;2;0;4;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
president;0;0;0;10;0;4;4;0;0;2;2;2;4;0;0;4;0;0;0;0;2;4;2;0;2;0;0;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;4;0;4;0;4;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;2;0;0;0;2;2;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0
government;0;0;0;0;10;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;2;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;4;0;0;2;0;0;0;2;0;0;0;2;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0
trump;0;0;0;0;0;0;0;0;0;0;2;4;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0
federal;0;0;0;0;0;0;0;0;0;2;2;0;2;8;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0
states;0;0;0;0;0;0;14;0;0;2;0;2;2;0;2;0;0;0;0;0;4;2;4;0;2;0;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0
united;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;4;2;4;0;2;0;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0
best;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;4;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0
