;people;united;states;new;trump;president;great;federal;government;white;american;history;campaign;post;media;house;former;big;killed;russia;best;racist;2016;week;state;saturday;fbi;washington;hunt;witch;spent;country;huge;immediately;national;super;terrorists;fact;economy;team;may;says;china;win;totally;illegal;news;pittsburgh;charged;nfl;early;arrested;shooting;paying;order;millions;york;major;take;shot;reserve;election;americans;city;syria;democrats;victory;play;another;try;usa;democrat;fake;wednesday;hillary;incredible;dollars;maine;young;records;iran;party;orleans;bronx;help;investigation;court;department;caught;year;police;director;final;longer;working;book;massive;blacks;paid;ready
people;0;8;8;4;6;4;4;2;0;2;6;4;2;0;10;0;0;6;4;0;0;0;0;0;2;0;0;2;0;0;2;4;4;0;2;2;0;2;2;2;2;2;2;0;4;0;4;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;2;4;4;2;2;0;0;4;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;4
united;0;0;24;0;2;4;0;2;2;2;4;0;0;0;2;2;2;0;2;2;0;0;2;6;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;2;0;4;0;0;4;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2
states;0;0;0;0;2;4;0;2;2;2;4;0;0;0;2;4;2;0;2;2;0;0;2;6;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;2;0;4;2;0;4;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2
new;0;0;0;0;2;0;0;2;0;0;0;0;2;4;0;0;2;4;0;0;0;0;0;2;4;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;0;2;0;2;2;0;2;2;0;4;0;0;0;0;0;0;8;0;2;0;2;0;0;0;2;2;2;2;0;4;2;2;0;0;0;2;0;0;0;0;0;2;4;0;0;0;0;0;2;0;0;2;2;0;2;2;0;2;0;0
trump;0;0;0;0;0;8;4;0;0;0;4;2;8;0;2;0;0;0;0;4;0;0;4;0;0;0;4;0;2;2;4;2;0;0;0;0;0;0;0;2;0;0;2;2;6;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;4;4;2;2;2;2;0;0;0;0;0;4;0;0;2;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0
president;0;0;0;0;0;0;2;2;0;2;8;0;6;0;0;4;6;0;0;2;0;0;2;0;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
great;0;0;0;0;0;0;0;0;0;2;4;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;4
federal;0;0;0;0;0;0;0;0;6;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0
white;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;10;2;0;0;4;0;0;0;2;0;2;4;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;0;2;2;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0
