;great;states;united;president;new;trump;people;federal;national;state;government;house;country;obama;news;good;administration;american;man;republican;party;court;help;article;department;presidential;york;bernie;former;big;best;working;end;thank;trying;killed;second;hard;year;2016;world;may;bill;democrats;south;hillary;family;white;justice;post;senate;rights;take;washington;work;sanders;americans;donald;story;attorney;weeks;vote;democratic;general;judge;america;senator;voted;texas;city;media;program;election;action;press;clinton;times;set;police;case;money;following;free;deal;thursday;love;easy;life;group;fake;economy;businesses;ukraine;released;democrat;supreme;days;navy;congress;history
great;0;10;10;12;10;10;2;0;4;6;4;0;6;2;6;8;0;8;8;2;2;0;2;4;0;0;2;4;0;4;2;2;6;4;4;0;0;0;0;0;2;2;0;2;0;2;4;2;0;4;0;0;2;6;2;4;2;2;2;0;2;2;0;2;0;10;2;0;2;0;0;0;0;0;2;0;2;2;0;2;2;2;4;0;0;4;4;6;0;2;2;0;2;0;2;0;0;2;4;0
states;0;0;58;10;2;4;2;6;2;2;8;0;4;2;2;2;8;4;0;2;4;2;2;4;4;2;2;0;2;6;2;4;4;2;6;2;4;2;4;0;8;6;2;0;0;0;0;0;0;2;2;0;4;2;4;0;6;2;0;2;0;4;0;2;0;10;0;0;2;4;0;4;2;0;0;0;0;0;2;0;0;0;2;4;2;2;0;0;0;2;0;2;6;0;2;0;0;2;0;2
united;0;0;0;12;4;4;2;4;0;2;6;2;6;4;2;2;8;4;0;2;2;2;2;4;6;2;4;0;0;4;2;0;4;2;6;2;4;2;4;0;10;6;2;0;0;0;0;2;0;2;2;0;4;0;2;0;2;2;0;0;0;2;0;0;0;14;0;0;2;4;0;4;2;0;0;0;2;0;2;2;0;0;2;4;2;2;0;0;0;2;0;2;6;2;2;0;0;2;2;2
president;0;0;0;0;10;28;2;4;2;4;2;6;8;10;4;0;4;6;2;4;2;2;2;4;0;6;4;2;4;0;0;0;4;2;0;0;2;4;2;0;2;4;2;0;2;0;0;2;0;2;6;0;0;0;0;2;10;6;0;2;0;2;2;4;4;6;2;4;2;0;0;2;2;2;2;0;2;0;0;2;0;0;0;0;6;0;0;2;2;2;0;0;2;2;0;0;2;0;4;4
new;0;0;0;0;0;10;4;6;4;8;6;2;2;0;8;2;0;2;0;0;0;4;0;4;0;4;20;0;2;0;2;2;0;2;0;0;0;4;4;2;0;2;2;4;2;0;2;2;0;6;0;6;0;4;2;0;2;2;0;2;2;0;0;2;2;4;2;2;0;4;2;2;4;0;0;0;12;2;0;0;2;0;0;0;2;2;0;4;2;4;0;4;0;2;0;4;2;2;4;2
trump;0;0;0;0;0;0;4;2;0;4;4;8;4;2;8;2;6;8;0;2;0;2;2;0;0;0;2;0;0;2;0;0;4;4;0;0;2;2;0;2;0;6;2;4;2;2;2;4;0;0;2;0;2;0;2;0;0;8;0;0;0;0;0;4;2;2;2;0;0;0;0;0;0;4;0;2;2;0;0;2;0;0;0;0;4;0;0;4;2;2;2;2;0;2;0;2;2;0;6;2
people;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;2;0;8;0;0;0;2;4;2;0;0;0;0;2;2;0;0;2;0;0;8;0;2;0;2;0;0;0;2;2;2;4;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;4;0;2;2;2;2;0;0;2;2;0;2;0;0;2;0;0;2;0;0;2;4;0;2;0;0;0;0;0;0;2;2;2;2;0;4
federal;0;0;0;0;0;0;0;0;0;6;14;2;0;2;4;0;2;0;2;2;0;6;0;2;2;2;2;0;0;2;2;6;0;2;0;2;0;0;0;0;0;0;2;0;0;2;2;0;2;4;2;0;0;2;2;0;2;2;0;2;2;0;0;2;10;0;2;0;2;8;2;0;2;4;0;0;0;2;0;4;2;2;0;0;2;0;0;0;0;4;0;4;0;2;0;0;0;0;2;0
national;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;4;0;2;2;4;4;2;2;0;0;6;2;4;4;0;0;4;0;4;0;0;4;2;4;4;0;2;0;2;0;4;0;0;2;4;0;0;4;4;2;4;2;0;2;0;0;2;4;0;0;0;4;0;0;0;0;0;2;0;4;4;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0
state;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;2;4;2;0;0;2;2;0;4;0;2;0;2;2;2;4;0;2;0;2;0;2;0;2;0;0;0;4;0;0;0;0;0;2;0;2;2;0;2;0;0;2;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;2;2;0;0;0;0;2;0;0;0;2;2;0
government;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;4;0;2;2;0;2;2;4;0;2;2;2;0;4;2;6;2;2;2;2;0;2;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;4;0;2;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;4;2;4;0;0;0;0;0;0
