;great;new;trump;people;president;working;states;united;americans;house;country;hard;national;amazing;white;senate;love;york;guy;team;put;season;american;party;million;signed;job;deal;countries;trillion;democratic;bill;republican;left;administration;governor;history;big;tax;majority;policies;thing;may;state;nuclear;comedy;10;recent;war;campaign;free;sausagethere;best;thank;tril;proud;nebraska;book;press;system;together;man;think;largest;year;closely;high;jerry;july;trade;paid;finally;department;dollars;record;study;respect;filing;china;game;article;help;iran;west;donald;contract;voted;decided;approved;women;washington;week;candidate;senator;number;evil;excited;answer;democrats;corrupt
great;0;6;0;10;4;8;2;2;2;0;2;2;2;2;0;2;10;0;2;4;2;0;0;0;0;2;4;0;0;0;0;4;0;0;0;2;0;4;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;2;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;2;0;2
new;0;0;8;6;4;6;8;8;0;4;0;2;2;2;4;0;2;8;0;4;2;0;2;0;0;0;0;0;0;2;0;0;2;2;2;4;2;0;0;0;0;0;2;2;0;0;2;0;2;2;0;0;0;2;0;2;0;4;2;4;0;0;0;0;2;2;2;0;0;0;2;0;0;0;0;4;2;0;2;0;2;2;0;4;2;0;0;0;0;2;0;2;2;0;2;0;2;0;0;0
trump;0;0;0;2;12;2;6;6;2;4;0;2;2;0;6;2;0;4;0;0;0;0;0;2;0;2;0;6;0;0;0;0;2;0;6;0;4;2;0;2;0;0;0;2;2;0;0;2;0;2;2;0;0;2;0;0;2;2;0;2;0;0;0;4;0;0;0;0;2;2;2;0;2;0;0;0;0;2;2;0;0;0;4;4;4;0;0;0;2;0;0;0;4;0;0;0;2;0;0;2
people;0;0;0;0;4;2;6;6;2;0;4;2;2;0;0;2;4;0;0;2;0;0;4;0;2;0;2;0;4;0;0;2;2;2;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;2;0;2;0;0;0;0;0;4;0;2;0;0;2;0;0;2;2;2;0;0;0;2;0;4;0;0;0;2;0;0;2;2;2;4;2;2;4
president;0;0;0;0;0;6;6;6;0;0;2;4;4;0;0;6;0;0;0;0;0;0;0;2;0;2;0;4;2;0;2;0;0;0;2;0;2;2;2;0;2;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;2;0;2;2;0;2;0;0;0;2;2;2;0;0;0;0;4;0;0;0;0;0;2;0;2;0;4;2;2;2;2;0;0;0;0;0;2;0;2;2
working;0;0;0;0;0;0;4;4;0;2;0;10;0;6;2;2;0;2;0;2;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;2;2;0;0;6;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0
states;0;0;0;0;0;0;0;20;0;0;2;2;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;4;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
united;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;4;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
americans;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0
