;president;trump;news;new;states;people;united;great;good;white;big;man;country;house;obama;2016;american;administration;thank;national;major;announce;americans;world;complete;federal;latest;election;source;force;powerful;put;love;government;democrats;high;bernie;clinton;york;sanders;deal;health;leading;best;help;year;dead;law;leader;per;nation;season;strong;fighting;tuesday;hillary;nfl;campaign;went;times;greatest;money;justice;economic;morning;act;foreign;elder;happy;future;war;child;called;use;2nd;team;policy;scrolls;lot;released;reserve;history;cnn;guy;uespwiki;supporters;governor;information;stay;statements;dnc;ceo;fbi;biggest;committee;presidential;conference;article;days;real
president;0;12;4;2;2;4;2;8;2;6;2;2;4;8;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2
trump;0;0;2;4;0;2;0;2;4;0;0;0;6;2;0;4;0;0;0;0;0;2;0;2;2;0;0;2;0;2;0;0;2;0;2;0;0;4;2;0;0;0;2;0;0;0;0;2;2;0;2;0;6;0;2;4;0;4;0;2;0;0;0;0;0;0;2;0;2;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;2;0;0;2;0;2;4;0;0;0;2
news;0;0;0;0;4;2;4;2;4;2;0;0;2;2;2;0;2;2;0;0;0;2;2;4;0;0;4;2;2;0;0;0;0;0;0;2;0;0;0;0;0;4;2;2;0;0;0;0;0;0;2;0;0;0;6;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;4;2;2;0
new;0;0;0;0;0;2;0;2;2;0;2;0;0;0;2;2;0;2;0;4;0;2;0;0;0;0;2;0;0;0;0;4;2;2;2;2;4;4;6;4;0;0;4;4;0;2;0;0;0;2;0;4;0;0;0;4;2;0;4;4;0;2;0;2;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0
states;0;0;0;0;0;2;18;0;0;0;0;0;2;0;2;0;0;2;0;0;2;2;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;4;0;0;0;0;2;4;0;0;0;2;0;0;0;0;0;4;0;2;0;0;2;4;0;0;0;2;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0
people;0;0;0;0;0;0;2;2;2;0;4;2;4;0;2;0;2;2;2;0;2;2;0;0;4;2;0;2;0;2;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;2;2;0;0;2;0;0;2;4;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;0;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2
united;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;2;2;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;4;0;2;0;0;2;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0
great;0;0;0;0;0;0;0;0;2;2;4;0;4;2;2;0;4;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;2;0;2;0;0;2;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
good;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;4;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0
white;0;0;0;0;0;0;0;0;0;0;2;0;0;10;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
big;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;6;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;4;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
man;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;12;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;4;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0
2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;0;2;2;0;0;6;0;4;0;0;0;0;4;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;2;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;4;0;0;4;2;0;0;0
american;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;4;2;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
