;new;united;obama;trump;president;states;administration;american;government;people;york;great;man;state;big;world;radical;early;working;white;news;thank;saturday;house;thing;looks;killed;media;race;fake;minnesota;friend;senator;iran;end;morning;hard;nothing;democrats;called;carolina;federal;law;considering;military;department;police;russian;sick;year;tax;taken;citizens;guy;post;study;amendment;minister;decision;black;arrested;weeks;nation;complete;chinese;officer;progress;trying;workers;battle;old;reported;million;election;nfl;presidential;rifle;rights;party;running;place;shot;cut;part;live;spending;released;enforcement;conversation;passing;wrong;medical;donald;case;showing;jim;reports;series;team;card
new;0;0;2;2;2;0;4;2;0;0;12;4;0;0;2;0;4;0;0;2;0;0;4;4;2;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;2;0
united;0;0;4;2;4;22;6;2;4;0;0;2;0;2;0;2;2;2;2;0;0;0;0;2;0;2;4;0;0;0;0;0;4;0;0;0;2;0;2;2;2;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;2;2;2;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0
obama;0;0;0;0;8;4;10;2;0;2;2;2;2;2;4;0;2;0;2;0;0;2;2;0;2;0;2;0;0;0;0;0;2;2;2;0;2;0;0;2;2;0;2;0;2;0;0;2;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;2;0;2;2;0;0;0;2;0;2;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
trump;0;0;0;0;8;2;4;4;2;2;0;0;2;0;0;0;6;2;2;2;2;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;2;4;4;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0;2;0;2;0;0;0
president;0;0;0;0;0;4;4;2;2;0;2;2;0;2;0;0;4;0;0;0;2;0;2;0;2;0;0;2;0;2;0;0;0;0;2;0;0;2;2;4;0;0;2;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0
states;0;0;0;0;0;0;6;2;4;0;0;2;0;2;0;2;2;2;2;0;0;0;0;2;0;2;2;0;0;0;0;0;4;0;0;0;2;0;2;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0
administration;0;0;0;0;0;0;0;2;0;0;2;2;2;0;4;0;4;2;2;0;0;2;2;2;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;2;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
american;0;0;0;0;0;0;0;0;0;4;2;2;0;0;2;0;2;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
york;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
