;great;new;united;people;trump;states;president;national;federal;state;news;american;obama;world;department;administration;love;house;senate;election;working;republican;man;country;democrats;government;york;bill;article;russia;party;donald;fbi;media;white;report;history;security;important;big;americans;best;trying;help;political;fake;city;thing;job;campaign;million;night;hard;washington;presidential;thank;court;america;released;win;law;may;year;former;war;work;end;fact;committee;times;show;called;think;nations;order;pay;announce;economy;everyone;women;health;money;north;investigation;nfl;take;provide;2016;reserve;congress;investigating;story;nation;week;business;another;possible;team;lot;dr
great;0;18;18;32;28;18;20;4;4;16;12;20;6;6;2;8;22;4;6;8;14;4;4;8;2;2;0;6;0;2;8;6;4;6;4;2;6;0;6;6;4;8;4;8;2;2;0;4;12;2;2;0;10;2;8;8;2;10;0;8;4;0;2;2;4;8;8;10;2;0;0;2;6;2;0;0;6;2;6;6;0;0;4;2;8;4;4;2;2;0;2;0;6;4;6;4;0;6;4;4
new;0;0;14;12;34;16;16;14;6;2;6;8;20;6;2;16;2;0;6;2;4;8;4;2;8;8;52;4;12;4;6;10;8;6;2;8;6;2;2;8;8;4;8;4;8;4;10;2;4;4;6;4;4;8;4;2;2;6;10;2;2;0;0;4;2;2;2;4;6;26;8;2;0;4;4;0;6;2;0;0;2;4;2;0;2;2;2;4;2;4;0;6;0;4;8;4;2;2;0;4
united;0;0;0;24;16;136;26;4;8;12;6;2;10;28;8;12;8;6;6;2;6;0;0;10;0;8;8;6;4;8;0;6;4;4;6;6;8;10;6;2;0;2;4;2;2;2;0;0;2;0;10;2;2;2;6;6;6;6;4;2;4;6;4;2;10;2;0;6;0;8;2;0;0;14;8;4;8;0;0;8;4;4;10;8;0;0;2;0;2;2;2;2;8;0;0;0;6;4;0;0
people;0;0;0;0;16;18;14;4;4;10;10;32;14;12;2;10;8;4;2;8;8;2;10;16;4;6;0;4;2;2;2;2;6;8;2;6;4;4;4;8;4;4;10;4;6;8;0;6;8;4;6;4;10;4;2;4;2;6;2;8;4;0;4;0;2;4;4;0;2;0;0;8;2;2;4;6;6;4;6;4;2;4;2;2;2;4;6;0;2;4;4;2;10;2;0;0;0;2;10;0
trump;0;0;0;0;0;14;66;18;2;10;12;2;6;8;0;16;4;14;12;12;10;16;2;4;18;4;14;6;6;12;8;44;10;12;10;10;6;8;6;2;2;2;12;2;6;6;0;4;6;24;8;2;12;8;10;4;2;0;6;0;6;6;2;8;4;0;2;2;14;10;2;4;2;6;6;2;0;8;0;2;2;2;2;2;0;2;6;4;0;0;2;4;0;6;6;8;2;8;4;0
states;0;0;0;0;0;0;24;4;8;10;8;2;10;26;8;12;6;6;8;0;8;0;0;10;0;8;8;6;4;6;0;4;4;2;6;6;10;12;4;2;0;0;4;4;2;2;0;0;2;0;8;2;6;4;6;4;8;4;4;0;6;4;2;2;10;2;0;4;0;8;2;0;0;6;8;4;8;2;0;8;4;6;10;6;0;0;4;0;2;2;2;2;10;0;0;0;6;2;0;0
president;0;0;0;0;0;0;0;10;6;4;12;4;14;4;2;4;4;20;6;8;14;8;0;8;8;2;12;10;4;12;2;18;6;12;16;6;6;14;4;4;0;4;10;0;6;6;0;4;8;4;4;6;12;8;4;2;8;2;6;4;10;4;2;6;0;2;0;4;4;10;2;2;2;2;4;4;0;6;0;0;0;0;2;6;0;4;4;0;0;0;0;4;2;8;0;4;4;2;2;0
national;0;0;0;0;0;0;0;0;6;2;4;4;6;0;0;4;0;2;2;2;0;14;4;0;8;6;4;0;2;2;4;6;6;0;2;4;6;30;2;4;6;0;4;0;2;2;0;2;2;8;4;8;4;0;0;0;0;2;6;0;2;6;4;8;0;0;2;0;20;4;2;2;0;4;0;0;2;2;2;0;0;0;0;4;0;2;2;4;0;2;6;0;0;6;0;2;2;2;0;4
federal;0;0;0;0;0;0;0;0;0;8;4;4;0;4;6;2;0;2;0;2;4;6;2;0;0;20;0;0;0;2;2;4;4;2;2;6;0;0;2;2;6;2;2;6;0;4;4;2;2;0;4;0;2;6;0;0;10;0;2;0;6;2;2;2;0;0;4;2;2;0;0;2;0;2;4;2;2;8;0;0;2;2;2;4;0;0;2;0;20;0;0;2;0;0;0;4;4;0;2;0
state;0;0;0;0;0;0;0;0;0;0;4;4;2;4;10;2;6;2;0;6;0;4;0;0;2;2;2;2;2;2;4;2;0;2;2;0;2;2;4;0;0;4;0;0;4;0;0;0;0;2;8;2;0;4;2;2;4;2;2;2;4;2;2;4;2;0;0;6;0;0;2;2;0;2;4;4;2;2;0;0;2;2;0;6;0;2;4;2;0;2;0;0;0;0;2;0;0;2;0;0
news;0;0;0;0;0;0;0;0;0;0;0;6;4;4;0;4;0;4;0;2;4;2;0;0;2;4;2;6;2;2;2;4;2;14;4;0;6;4;6;0;0;4;8;6;2;28;0;2;2;2;0;2;2;4;2;0;4;6;0;0;2;0;2;10;2;0;0;0;0;2;2;2;4;2;2;2;2;2;2;2;0;2;2;2;0;0;2;2;2;0;0;2;2;0;4;4;0;2;6;0
american;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;4;2;2;2;4;4;4;4;8;8;6;2;0;2;2;4;0;4;6;2;4;6;6;2;6;4;2;2;2;8;4;0;2;0;0;2;4;6;4;0;2;0;2;2;8;0;0;0;2;2;4;2;0;2;0;2;2;2;0;0;4;2;2;4;0;0;2;0;2;0;2;0;0;2;4;0;2;2;0;4;0;0;0;2;0
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;34;0;0;0;4;4;0;0;0;2;2;6;2;6;0;0;0;0;2;0;4;4;4;2;0;4;0;8;2;2;0;0;0;2;4;2;2;4;2;2;0;2;0;2;0;6;2;2;2;6;0;4;0;0;2;2;4;0;0;0;0;0;0;0;2;0;2;2;4;0;0;2;0;0;4;0;2;0;4;0;4;2;2;0;2
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;4;0;0;10;2;0;4;0;0;2;0;0;0;2;0;2;4;2;4;0;2;2;2;0;0;2;0;0;2;0;2;0;2;0;0;0;6;0;2;0;0;4;0;0;4;2;4;2;0;0;0;2;2;2;6;2;0;4;0;4;6;2;2;0;0;0;0;0;4;0;0;0;8;0;4;0;4;2;2;0
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;4;4;0;2;2;2;2;2;0;2;2;2;0;10;0;2;2;0;2;0;0;0;0;2;2;2;0;4;0;0;0;2;2;0;2;0;0;0;2;2;0;4;2;0;2;0;2;0;4;0;2;0;0;0;4;0;2;0;2;0;0;6;0;0;6;0;0;0;0;0;0;8;0;0;0;0;0;0;0;2;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0;4;0;0;0;0;2;2;2;0;4;2;2;2;0;2;2;0;2;0;0;0;0;0;2;0;4;0;0;2;0;4;0;0;2;2;4;0;0;2;0;0;2;2;4;0;2;4;2;2;0;0;0;0;0;4;4;0;0;2;0;0;2;0;2;0;0;6;6;2;0;0;0
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;0;6;2;0;0;0;0;0;0;0;0;4;2;2;0;0;2;6;0;4;0;0;0;0;0;2;2;0;0;0;2;0;0;6;0;2;0;4;2;0;2;0;0;0;0;6;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;8;4;4;0;0;8;0;0;8;0;2;4;2;2;2;36;2;0;4;0;0;0;0;4;2;2;2;0;2;2;0;2;4;4;6;4;0;2;0;0;4;2;2;2;4;0;2;0;0;4;0;0;0;2;2;0;2;0;2;2;2;0;0;4;2;0;2;0;4;0;4;0;0;0;2;2;4;2;0;2;0
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;4;0;0;10;2;2;12;2;4;2;0;0;0;4;4;2;2;2;2;0;2;2;8;0;0;0;0;2;4;0;4;4;0;2;0;0;0;2;6;0;0;2;2;0;0;0;0;10;2;0;0;2;0;0;0;2;0;6;2;0;2;0;0;0;2;2;6;0;2;0;0;2;2;2;0;4;0;0;2
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;2;10;2;0;2;2;6;0;8;0;2;4;0;4;0;6;2;4;0;4;4;2;0;0;0;0;2;2;4;4;2;10;2;0;0;0;6;0;0;2;0;0;0;2;0;0;0;0;2;2;0;4;0;0;0;0;2;0;0;0;4;0;2;0;6;0;0;0;4;0;4;2;0;2;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;0;2;0;0;2;0;4;2;2;0;0;0;0;0;4;4;4;0;0;2;0;0;2;2;2;2;22;2;0;0;0;2;0;0;4;0;0;2;0;6;0;2;0;0;0;2;0;4;2;0;2;0;2;4;0;0;2;2;2;4;6;0;0;0;2;2;2;2;0;0;4;2;0;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;2;4;4;0;0;22;6;2;2;4;4;2;0;0;6;0;0;0;0;2;4;0;4;4;4;2;2;0;4;4;0;0;0;2;2;0;2;0;4;0;0;2;0;8;4;0;6;2;0;0;0;0;4;2;0;0;2;0;2;0;0;0;4;0;2;0;0;0;0;2;2;0;0;0;0
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;2;4;2;0;4;0;0;0;2;2;2;2;0;0;0;0;2;2;0;0;2;0;2;0;2;0;2;2;0;0;2;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;4;2;2;0;0;0;0;0;2;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;2;2;0;2;0;4;4;2;2;0;4;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;2;2;0;2;0;2;2;0;2;2;0;4;0;0;0;2;0;0;2;4;0;4;0;4;2;0;0;0;0;4;0;2;0;0;0;0;0;2;0;0;0;0;0;0
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;4;2;2;0;4;0;2;4;0;2;6;0;0;12;4;8;2;0;0;6;6;4;2;6;2;0;0;0;0;4;8;0;0;2;0;0;0;2;0;10;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;8;0;4;0;2;0;0;0;0;0;0;2;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;10;2;4;6;2;2;2;0;4;0;2;0;2;0;0;4;0;2;6;0;0;2;2;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;2;4;4;0;2;0;2;2;2;0;0;0;4;0;2;0;0;2;0;0;4;0;2;0;0;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;2;0;4;4;2;0;2;4;2;0;2;0;0;2;0;4;4;4;0;0;0;2;4;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;26;2;2;0;2;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;4;0;0;2;2;2;0;0;0
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;4;0;10;0;0;2;0;0;0;2;2;0;0;0;4;2;0;4;0;0;2;0;2;0;0;2;6;0;0;4;2;2;2;0;0;2;0;2;2;0;0;4;2;0;0;0;2;2;0;2;0;0;4;2;0;4;0;0;2;6;2;0;2;0;0;0
article;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;4;2;2;0;0;0;0;2;2;2;0;2;0;0;2;2;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;10;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
