;united;trump;great;people;states;new;court;president;working;state;supreme;federal;york;hearing;america;national;law;washington;american;russia;official;article;huge;obama;times;administration;security;country;campaign;democrats;million;hard;living;government;illegal;department;big;attack;admitted;case;help;fact;usa;world;massive;women;thank;iran;series;says;processors;goes;could;italian;year;friends;city;best;struck;census;funding;real;statement;serve;texas;school;given;house;proud;monday;liberal;notice;allowed;think;thousands;plan;media;though;measure;dhs;illinois;nations;data;news;millions;high;sick;ruled;lot;lied;business;former;daily;important;socalled;beat;beautiful;spanish;nearly;uk
united;0;0;8;4;24;8;2;4;2;2;2;0;6;0;2;4;0;2;2;2;2;2;0;0;4;0;8;4;0;0;2;0;2;0;0;2;0;0;4;2;2;4;0;6;2;0;0;4;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0
trump;0;0;0;6;0;4;0;8;4;2;0;6;2;2;0;0;0;2;0;4;0;2;0;2;4;8;0;0;6;2;2;2;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;4;0;0;2;0;0;2;0;2;2;4;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0
great;0;0;0;6;6;4;0;2;2;0;0;0;0;2;6;2;0;0;4;0;0;0;0;0;0;0;2;4;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;2;0;0;0;2;0;0;0;0;4;0;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0
people;0;0;0;0;0;2;0;4;0;4;0;0;2;4;0;0;0;0;4;6;0;0;0;4;2;2;0;2;4;2;4;0;2;2;2;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;2;4;2;0;0;2;0;2;0;0;2;0;2;2;0;0;2;2;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;6;0;0;0;0;0;2;0;0;0;2;0;2;0
states;0;0;0;0;0;4;2;4;2;2;2;0;2;0;2;4;0;2;2;2;2;0;0;0;0;0;6;4;0;0;2;0;0;0;0;2;0;0;4;2;2;4;0;4;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0
new;0;0;0;0;0;0;2;0;4;2;2;2;10;0;0;2;0;2;2;2;0;6;0;0;8;2;2;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
court;0;0;0;0;0;0;0;2;2;4;14;4;2;0;0;0;4;2;0;2;0;0;4;0;0;0;0;0;0;2;0;0;0;2;0;0;4;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;4;0;6;0;2;0;0;0;0;2;0;0;0;0;2
president;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;0;2;0;0;0;0;0;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;2;0;0;0;2;0;0;0
working;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;2;4;0;0;0;0;0;0;0;0;4;0;0;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;2;0;4;0;2;0;0;4;2;0;2;0;0;0;0;2;0;0;2;2;2;0;2;0;0;0;0;4;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0
supreme;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;2;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0
