Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,in_reply_to_user_id,user_id,isRT,tco,Language,Month,Quarter,TweetsTokenized
Here’s a reminder from Reno Dr. Eric Nielsen on the importance of wearing a face covering when you leave your house.,140,2020-06-30 20:42:24,TweetDeck,472,120,GovSisolak,1278066376091955201,,1080586433088258048,False,https://t.co/m2Ql5LcNS6,en,June,Q2,"['heres', 'reminder', 'reno', 'dr', 'eric', 'nielsen', 'importance', 'wearing', 'face', 'covering', 'leave', 'house']"
Good morning. Today’s reminder: Wear a mask. #MaskUpNV,78,2020-06-30 15:50:30,Twitter for iPhone,1042,254,GovSisolak,1277992917269753857,,1080586433088258048,False,https://t.co/mUpKgVaRGQ,en,June,Q2,"['good', 'morning', 'todays', 'reminder', 'wear', 'mask', '#maskupnv']"
"If statewide trends do not improve or get worse, I will not hesitate to take any action necessary to protect the public, including reinstituting previous  restrictions. I am currently reviewing all the data to determine potential next steps.",241,2020-06-29 22:14:53,Twitter for iPhone,2046,434,GovSisolak,1277727263673335808,1.080586433088258e+18,1080586433088258048,False,,en,June,Q2,"['statewide', 'trends', 'improve', 'worse', 'hesitate', 'take', 'action', 'necessary', 'protect', 'public', 'reinstituting', 'previous', 'restrictions', 'currently', 'reviewing', 'data', 'determine', 'potential', 'next', 'steps']"
"Today, I signed a directive extending Phase 2 of Nevada’s reopening plan until the end of July, consistent with my announcement last week. The extension is necessary due to trends in our #COVID19 data. Please, remember to wear a face covering and practice social distancing.",274,2020-06-29 22:14:52,Twitter for iPhone,2080,466,GovSisolak,1277727261626515456,,1080586433088258048,False,,en,June,Q2,"['signed', 'directive', 'extending', 'phase', '2', 'nevadas', 'reopening', 'plan', 'end', 'july', 'consistent', 'announcement', 'week', 'extension', 'necessary', 'due', 'trends', '#covid19', 'data', 'please', 'remember', 'wear', 'face', 'covering', 'practice', 'social', 'distancing']"
"This morning, I was grateful for the opportunity to join the White House #COVID19 taskforce call with other Governors to talk about our ongoing response efforts to battle this virus.",206,2020-06-29 17:09:15,Twitter for iPhone,413,39,GovSisolak,1277650350074257408,,1080586433088258048,False,https://t.co/iqjs68D9g2,en,June,Q2,"['morning', 'grateful', 'opportunity', 'join', 'white', 'house', '#covid19', 'taskforce', 'call', 'governors', 'talk', 'ongoing', 'response', 'efforts', 'battle', 'virus']"
"State officials are monitoring the #MahoganyFire. Please, avoid the area and monitor local media outlets and emergency response agencies for the latest updates.",184,2020-06-29 00:42:53,Twitter for iPhone,148,51,GovSisolak,1277402121290178560,,1080586433088258048,False,https://t.co/TJVvQIbYiP,en,June,Q2,"['state', 'officials', 'monitoring', '#mahoganyfire', 'please', 'avoid', 'area', 'monitor', 'local', 'media', 'outlets', 'emergency', 'response', 'agencies', 'latest', 'updates']"
"Sadly, today marks the 500th loss of life in Nevada due to #COVID19. These Nevadans were our mothers, fathers, brothers, sisters, aunts, uncles and friends, and Kathy and I mourn this unimaginable loss. We owe it to their memories to do all we can help slow the spread.",269,2020-06-28 18:45:29,Twitter for iPhone,2426,420,GovSisolak,1277312178471628800,,1080586433088258048,False,,en,June,Q2,"['sadly', 'marks', '500th', 'loss', 'life', 'nevada', 'due', '#covid19', 'nevadans', 'mothers', 'fathers', 'brothers', 'sisters', 'aunts', 'uncles', 'friends', 'kathy', 'mourn', 'unimaginable', 'loss', 'owe', 'memories', 'help', 'slow', 'spread']"
"Don’t forget: Wear your mask. 

#MaskUpNV",65,2020-06-28 16:49:21,Twitter for iPhone,659,125,GovSisolak,1277282955111481344,,1080586433088258048,False,https://t.co/cIlvNZkEI9,en,June,Q2,"['forget', 'wear', 'mask', '#maskupnv']"
"State officials, including the Nevada Division of Forestry, continue to monitor and assist with the #PoevilleFire. Please, monitor local media outlets and local emergency response agencies, like @tmfpd and @washoesheriff",244,2020-06-27 23:28:58,Twitter for iPhone,100,24,GovSisolak,1277021133766750213,,1080586433088258048,False,https://t.co/6YwZDRTQXz,en,June,Q2,"['state', 'officials', 'nevada', 'division', 'forestry', 'continue', 'monitor', 'assist', '#poevillefire', 'please', 'monitor', 'local', 'media', 'outlets', 'local', 'emergency', 'response', 'agencies', '@tmfpd', '@washoesheriff']"
"This settlement is a significant victory in our State’s effort to keep weapons grade material out of our State. Thank you to the @AaronDFordNV, @SenCortezMasto, @repdinatitus and the rest of the federal delegation for your support.",255,2020-06-26 22:40:51,Twitter for iPhone,162,28,GovSisolak,1276646637427810305,,1080586433088258048,False,https://t.co/jRTNZTyBDo,en,June,Q2,"['settlement', 'significant', 'victory', 'states', 'effort', 'weapons', 'grade', 'material', 'state', 'thank', '@aarondfordnv', '@sencortezmasto', '@repdinatitus', 'rest', 'federal', 'delegation', 'support']"
Today is the first day of the statewide face covering mandate. I encourage all businesses to post signage reminding Nevadans and visitors of these new rules to help us all stay safe and healthy. Posters are available online at  #MaskUpNV,284,2020-06-26 20:30:29,Twitter for iPhone,745,187,GovSisolak,1276613826062848001,,1080586433088258048,False,https://t.co/7wrtjyVq4G,en,June,Q2,"['statewide', 'face', 'covering', 'mandate', 'encourage', 'businesses', 'post', 'signage', 'reminding', 'nevadans', 'visitors', 'new', 'rules', 'help', 'stay', 'safe', 'healthy', 'posters', 'available', 'online', '#maskupnv']"
Make sure to wear your face covering! Your face covering should fit snugly around your nose and your mouth and cover from your nose to your chin. #MaskUpNV,179,2020-06-26 17:24:32,Twitter for iPhone,810,217,GovSisolak,1276567032608120832,,1080586433088258048,False,https://t.co/M6eT3zYYw9,en,June,Q2,"['wear', 'face', 'covering', 'face', 'covering', 'fit', 'snugly', 'nose', 'mouth', 'cover', 'nose', 'chin', '#maskupnv']"
"Thank you, Batuhan Zadeh, for taking steps to ensure we stay safe and stay open. 

Submit a business for Battle Born Business of the Day by emailing battlebornbiznv@gmail.com",198,2020-06-26 15:28:24,Twitter for iPhone,124,18,GovSisolak,1276537804239994887,,1080586433088258048,False,https://t.co/ULRJiJCKvX,en,June,Q2,"['thank', 'batuhan', 'zadeh', 'taking', 'steps', 'ensure', 'stay', 'safe', 'stay', 'submit', 'business', 'battle', 'born', 'business', 'emailing', 'battlebornbiznv@gmailcom']"
"Thank you for all your hard work and support, @ZConine !",80,2020-06-26 01:04:20,Twitter for iPhone,46,10,GovSisolak,1276320357712982016,,1080586433088258048,False,https://t.co/XAP4m3sQ1C,en,June,Q2,"['thank', 'hard', 'work', 'support', '@zconine']"
Thank you for your support @NevadaAG !,62,2020-06-26 00:41:17,TweetDeck,49,11,GovSisolak,1276314556327882754,,1080586433088258048,False,https://t.co/rWkmdN4aeF,en,June,Q2,"['thank', 'support', '@nevadaag']"
Thank you for your support @bbuckleyad8,63,2020-06-26 00:40:24,TweetDeck,42,11,GovSisolak,1276314333694156800,,1080586433088258048,False,https://t.co/ug6swL01nF,en,June,Q2,"['thank', 'support', '@bbuckleyad8']"
Thank you for your support @BaileyBortolin,66,2020-06-26 00:40:02,TweetDeck,20,6,GovSisolak,1276314239385260032,,1080586433088258048,False,https://t.co/Uo48HOoydE,en,June,Q2,"['thank', 'support', '@baileybortolin']"
"Thank you for your support, @YvannaCancela",66,2020-06-26 00:39:43,TweetDeck,23,4,GovSisolak,1276314160377196545,,1080586433088258048,False,https://t.co/YkVCqSR9dR,en,June,Q2,"['thank', 'support', '@yvannacancela']"
