Tweets,Length,Date,Source,Favourites,RTs,Username,id_str,isRT,tco,Language,Month,TweetsTokenized
People that say they don’t pick their nose are straight up LIARS,64,2020-06-30 07:49:40,Twitter for iPhone,57029,5242,katyperry,1277871913528774656,False,,en,June,"['people', 'pick', 'nose', 'straight', 'liars']"
these the deep deep trax 😛,50,2020-06-27 03:42:52,Twitter for iPhone,14400,1623,katyperry,1276722641936584705,False,https://t.co/N0tNL1fpKZ,en,June,"['deep', 'deep', 'trax']"
it can my angel,39,2020-06-27 03:34:08,Twitter for iPhone,11665,1034,katyperry,1276720443999711232,False,https://t.co/wlhrYaKwcn,en,June,['angel']
Live!!!,31,2020-06-27 01:01:46,Twitter Media Studio,11655,2721,katyperry,1276682100050030593,False,https://t.co/UKo4HmZbnF,en,June,['live']
ICYMI #CANTCANCELPRIDE🌈,71,2020-06-26 05:15:16,Twitter for iPhone,25024,4183,katyperry,1276383506214449154,False,https://t.co/qOzirmv74V,en,June,"['icymi', '#cantcancelpride']"
"Lots of things are cancelled (rightfully so, trust!) but u #CANTCANCELPRIDE &amp; u cant cancel dance remixes w/ some of ya fav songs okur💅🏻Grab ya hairbrush (aka 🎤) mop (aka dance partner) &amp; join me, @iHeartRadio and @ProcterGamble tonight at 9pm ET 🌈",304,2020-06-25 13:21:13,Twitter for iPhone,29579,5870,katyperry,1276143411276296192,False,https://t.co/3oBCgVtEDW,en,June,"['lots', 'cancelled', 'rightfully', 'trust', 'u', '#cantcancelpride', 'u', 'cant', 'cancel', 'dance', 'remixes', 'w', 'ya', 'fav', 'songs', 'okurgrab', 'ya', 'hairbrush', 'aka', 'mop', 'aka', 'dance', 'partner', 'join', '@iheartradio', '@proctergamble', 'tonight', '9pm', 'et']"
"Perfect shoe for when u wanna let ur hair down, have a few rounds &amp; just let go like...🎲🎲😉don’t forget 10% from the sale of every shoe and handbag from the @kpcollections site will go to @PointFoundation &amp; their efforts in empowering more BIPOC LGBTQ+ students #shoesdaytuesday",309,2020-06-23 18:02:32,Twitter for iPhone,8690,824,katyperry,1275489431076519937,False,https://t.co/GY1sVUVZSC,en,June,"['perfect', 'shoe', 'u', 'wanna', 'ur', 'hair', 'rounds', 'likedont', 'forget', '10', 'sale', 'shoe', 'handbag', '@kpcollections', 'site', '@pointfoundation', 'efforts', 'empowering', 'bipoc', 'lgbtq', 'students', '#shoesdaytuesday']"
"The band’s back together and we’re doing it live! (LIVE live, like you can hear me mouth breathing between songs because I’m THAT pregnant🤰🏼🙃) Save the date in ur calendars, I’ll be performing on @beapplive this Friday at 9pm ET 💁🏼‍♀️",282,2020-06-22 21:01:50,Twitter for iPhone,8318,1254,katyperry,1275172164371537920,False,https://t.co/Ev67KO8Y90,en,June,"['bands', 'together', 'live', 'live', 'live', 'hear', 'mouth', 'breathing', 'songs', 'pregnant', 'save', 'date', 'ur', 'calendars', 'performing', '@beapplive', 'friday', '9pm', 'et']"
🎶...Told them your (dancefloor) dreams and... they all started dancin...😛🎶 Here’s the @OliverHeldens remix of #Daisies 🌼  (and catch this new vibe and much more glamour from motha on @iHeartRadio’s #CantCancelPride this Thursday night) 🌈♥️,286,2020-06-22 16:01:55,Twitter for iPhone,20047,3569,katyperry,1275096688235917313,False,https://t.co/pvZrzONQPJ,en,June,"['told', 'dancefloor', 'dreams', 'started', 'dancin', 'heres', '@oliverheldens', 'remix', '#daisies', 'catch', 'new', 'vibe', 'glamour', 'motha', '@iheartradios', '#cantcancelpride', 'thursday', 'night']"
babycat and I love daddy orlandobloom for his heart but of course always very proud of him and his incredibly talented contributions rolling out this summer... #Retaliation is a powerful one coming July 24th! Mark…,238,2020-06-22 06:29:21,Instagram,12432,1286,katyperry,1274952597229703168,False,https://t.co/JGJpP81dCg,en,June,"['babycat', 'love', 'daddy', 'orlandobloom', 'heart', 'course', 'proud', 'incredibly', 'talented', 'contributions', 'rolling', 'summer', '#retaliation', 'powerful', 'coming', 'july', '24th', 'mark']"
