;great;president;new;people;states;united;trump;national;federal;american;news;media;please;government;obama;house;state;fbi;party;court;administration;working;republican;work;story;man;team;white;election;donald;country;help;big;congress;supreme;democrats;nfl;released;proud;good;bill;russia;san;former;clinton;fake;law;says;trying;bernie;support;times;asked;show;political;hard;sanders;2016;another;york;announce;city;texas;year;left;department;shot;investigation;wrong;order;least;numbers;campaign;win;called;think;death;money;david;part;justice;lot;deal;pay;james;love;police;america;job;thing;security;joe;act;believe;power;history;monday;league;threat;huge
great;0;8;12;14;6;4;6;4;4;8;2;2;2;4;2;6;12;0;2;2;4;8;8;4;0;4;6;2;2;4;2;4;8;4;0;2;0;0;0;4;8;0;2;0;0;0;4;2;2;2;6;0;0;0;2;6;2;4;4;4;4;2;2;0;0;0;0;0;2;0;4;2;2;2;2;2;2;0;0;2;2;0;2;4;4;2;0;6;6;2;2;2;2;0;0;4;0;0;0;2
president;0;0;6;2;12;16;34;6;4;12;12;8;0;2;14;6;8;10;4;6;0;2;4;2;2;0;0;4;6;8;2;0;8;0;4;0;0;2;0;4;2;0;0;2;0;8;4;0;0;2;0;6;8;2;4;2;4;0;0;2;0;2;0;4;0;0;0;4;0;4;0;0;2;2;4;0;0;2;0;2;2;2;0;2;4;0;2;0;2;2;0;0;2;2;0;2;2;0;4;0
new;0;0;0;4;8;6;6;12;6;0;4;4;0;2;2;0;4;0;0;2;2;2;2;4;4;0;6;0;4;4;0;0;4;2;0;0;6;4;10;0;0;0;0;0;4;2;2;2;0;0;2;6;0;0;2;2;0;2;2;16;8;6;2;6;0;2;0;0;0;2;0;2;0;4;6;2;0;0;0;8;2;4;4;0;0;2;0;4;0;0;0;0;2;0;0;0;2;6;0;2
people;0;0;0;0;8;10;2;0;2;18;0;4;0;4;2;4;6;2;4;0;2;6;4;4;0;4;4;4;4;2;4;4;2;2;0;4;0;0;4;2;6;4;0;0;4;0;2;4;2;2;2;0;0;0;2;2;2;4;2;0;6;0;0;0;0;2;0;0;0;0;2;2;2;0;4;2;0;2;0;2;2;4;0;0;2;0;2;2;2;0;0;0;2;2;0;0;0;0;0;0
states;0;0;0;0;0;56;4;4;4;4;0;0;0;4;6;6;4;2;0;4;6;6;0;2;4;2;0;6;0;0;2;0;2;0;2;6;2;0;4;2;0;4;0;0;2;0;2;2;8;2;0;2;4;0;2;2;2;0;2;4;2;2;2;2;0;0;2;0;0;4;0;0;4;0;0;0;2;2;0;0;0;2;2;4;0;2;0;0;4;2;0;0;0;2;0;2;0;2;0;0
united;0;0;0;0;0;0;6;2;4;6;0;4;0;6;6;6;2;2;0;4;4;4;0;2;4;2;0;6;0;2;2;0;2;0;2;4;2;0;4;2;0;4;0;2;0;0;2;2;6;0;2;2;2;2;4;2;0;0;0;4;2;4;2;2;0;0;0;0;0;4;0;0;2;0;2;0;2;2;0;0;0;0;0;4;0;2;0;0;4;2;0;0;0;2;0;2;0;2;0;0
trump;0;0;0;0;0;0;0;0;6;0;12;4;0;4;4;0;8;8;0;4;8;4;2;2;2;0;0;0;8;20;2;6;2;2;4;0;0;0;0;4;2;2;0;2;2;6;4;2;0;0;0;2;4;4;6;4;0;4;0;2;0;2;2;2;0;0;0;4;2;6;2;0;4;2;2;2;0;0;0;0;2;4;0;2;4;2;2;2;0;0;0;0;2;4;0;0;6;0;2;0
national;0;0;0;0;0;0;0;0;4;8;0;0;0;2;8;2;0;2;8;0;2;0;2;4;0;4;4;2;2;0;0;2;0;2;0;2;6;2;8;0;0;0;6;0;4;0;0;2;0;6;0;0;0;2;2;0;4;0;2;4;6;2;0;6;0;2;0;2;0;2;0;0;0;2;0;0;0;0;0;2;2;2;2;0;2;0;0;0;0;0;4;0;0;0;2;0;0;10;0;0
federal;0;0;0;0;0;0;0;0;0;4;2;0;0;12;2;2;6;2;2;8;2;0;0;2;0;2;0;2;2;2;0;2;4;0;6;0;2;0;0;4;0;0;4;0;0;0;4;2;0;2;0;0;2;0;2;0;2;0;0;0;0;4;4;2;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0;0;0;0;2;0;0;2;0;0;0;0;4;0;6;0
american;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;4;4;6;2;0;4;0;0;4;0;0;2;0;4;4;4;2;6;2;0;2;2;0;2;2;2;0;2;0;4;0;0;2;2;0;2;0;2;0;2;2;4;0;4;0;2;0;0;2;0;0;0;0;2;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0
news;0;0;0;0;0;0;0;0;0;0;0;10;0;2;6;2;0;4;2;0;4;4;2;0;4;0;0;2;0;6;0;2;0;2;0;2;0;0;0;2;0;4;2;2;0;18;0;0;0;4;0;4;2;0;0;2;6;2;2;4;0;0;0;0;2;2;0;2;0;0;0;0;2;0;2;2;0;0;0;2;2;0;0;0;0;2;2;2;0;2;0;0;2;2;0;0;2;0;0;2
media;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;2;2;0;0;2;2;4;0;4;0;0;2;2;6;0;0;2;0;0;4;0;0;0;2;0;2;0;4;0;8;0;0;0;0;2;2;0;2;0;2;2;0;0;2;0;0;0;2;2;0;0;0;0;0;4;0;0;0;2;0;0;0;0;4;0;0;0;0;0;2;0;0;0;6;0;0;0;0;2;0;0;0;2;0
please;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
